"diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T"
,,,6.0542,,,,,,
0.654,,0.313,2.97387,,,,,,
,,,,,,,,,
,,,2.5709,,,,,,
0.595,,0.087,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2.6093,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2.6214,,,,,,
,,,3.278,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,3.0472,,,,,,
,,,,,,,,,
0.204,,0.352,5.737,,,,,,
,,,,,,,,,
,,,,,,,,,
0.40,,0.137,3.725,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2.4149,,,,,,
0.496,,0.343,2.433,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,4.647,,,,,,
,,,,,,,,,
,,,4.4,,,,,Sq,
,,,,,,,,,
0.432,,0.217,,,,,,S,
0.255,,0.430,4.2477,,,,,,
,,,,,,,,,
,,,2.6205,,,,,,
,,,,,,,,,
,,,3.925,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.4,,,,,,,,,
,,,,,,,,,
0.558,,0.099,,,,,,,
0.578,,0.059,3,,,,,,
,,0.110,5.12,,,,,Xk,
,,,14.96,,,,,,
,,,,,,,,,
,,,0.9067,,,,,,
,,,,,,,,,
1.876,,0.029,29.6,,,,,,
0.152,,0.306,7.021,,,,,,
,,,,,,,,,
,,,,,,,,,
0.371,,0.268,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.674,,0.246,,,,,,,
0.212,,0.075,,,,,,,
,,,,,,,,,
0.859,,0.199,,,,,,,
0.386,,0.119,5.286,,,,,,
,,,9.4357,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.515,,0.232,,,,,,,
0.230,,0.160,,,,,,,
1.050,,0.025,,,,,,,
,,,2.52,,,,,,
,,,38,,,,,,
,,,2.425,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,36,,,,,,
0.986,,0.288,42.89,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,4.92,,,,,,
0.520,,0.451,3.5197,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.811,,0.223,2.5193,,,,,Sa,
,,,,,,,,,
1.359,,0.334,6.195,,,,,,
,,,,,,,,,
0.367,,0.128,,,,,,,
0.663,,0.211,,,,,,,
